repo	blueprint_id	bsm_address	status	binary_version_id	binary_sha256	binary_uri	binary_attestation	note	timestamp
llm-inference-blueprint	0	0x6a0EF9695aAFeD077202538048c9b933e5D26475	registered	-	-	-	-	binary=llm-operator; no_v0_published	2026-05-22T23:50:19Z
modal-inference-blueprint	1	0x0346DC54f93011BAD0c8514B4fF92349dC2fB0CF	registered	-	-	-	-	binary=modal-operator; no_v0_published	2026-05-22T23:51:04Z
image-gen-inference-blueprint	2	0x8385F3D078b623779B349Ec8B85208145DaaC78C	registered	-	-	-	-	binary=image-gen-operator; no_v0_published	2026-05-22T23:51:38Z
training-blueprint	3	0x6ae1bB9d0d0ccCfEb539b16e9E87d47092392DCD	registered	-	-	-	-	binary=training-operator; no_v0_published	2026-05-22T23:52:20Z
vector-store-blueprint	4	0xab9327E81C332315d6F337836aaebb2e0713ecd9	registered	-	-	-	-	binary=vector-store-operator; no_v0_published	2026-05-22T23:52:56Z
distributed-inference-blueprint	5	0xBc3340b4C7b8DdcaEF5FAFC0dA967b0067825106	registered	-	-	-	-	binary=distributed-inference-operator; no_v0_published	2026-05-22T23:53:39Z
voice-inference-blueprint	6	0x46EdE6E0611CF164D84Cb3b364482C5Ba8B2E9f0	registered	-	-	-	-	binary=voice-operator; no_v0_published	2026-05-22T23:54:16Z
avatar-inference-blueprint	7	0xc15387e7734bAa66405c96fb996893d375A2D824	registered	-	-	-	-	binary=avatar-operator; no_v0_published	2026-05-22T23:54:52Z
embedding-inference-blueprint	8	0xe3BaA7a4b7d41261A09f0547F80e9CE5cE3de7DB	registered	-	-	-	-	binary=embedding-operator; no_v0_published	2026-05-22T23:55:29Z
video-gen-inference-blueprint	9	0x91E3C8f9a84BBC395eCE8deBf69b032912b81D81	registered	-	-	-	-	binary=video-gen-operator; no_v0_published	2026-05-22T23:56:10Z
ai-agent-sandbox-blueprint	10	0x281d2D1160d80070eBe8989A529b6732C8403625	registered	-	-	-	-	variant=sandbox; binary=ai-agent-sandbox-blueprint; no_v0_published	2026-05-23T00:50:05Z
ai-agent-sandbox-blueprint	11	0xDe25dad1757e5Dab5230d44779d7de6ad8181C5C	registered	-	-	-	-	variant=instance; binary=ai-agent-instance-blueprint; no_v0_published	2026-05-23T00:50:07Z
ai-agent-sandbox-blueprint	12	0x6D6deBfA88260558597Ad912439Ea1949962b3eb	registered	-	-	-	-	variant=tee-instance; binary=ai-agent-tee-instance-blueprint; no_v0_published	2026-05-23T00:50:09Z
ai-trading-blueprint	13	0xDaBE0ABeA4325aC2Dd35C1FDED303b7b208Dc12E	registered	-	-	-	-	variant=trading; binary=trading-blueprint; v0=0xf57e46b263d3681e5e948dc7bc2a5b1ee26316575ec2fa4d6acafc2bca1b1a25; release=v0.1.3	2026-05-23T10:55:36Z
ai-trading-blueprint	14	0x055F96d7960ed49a82424289E82166D5D80f429d	registered	-	-	-	-	variant=instance; binary=trading-instance-blueprint; v0=0xc4e915462a178f71b69458ac794548f67575d94984609899f232131d95a43adc; release=v0.1.3	2026-05-23T10:55:38Z
ai-trading-blueprint	15	0x54Da89CaBbBa9c477180BDd4f2a7aC4952A16e3a	registered	-	-	-	-	variant=tee-instance; binary=trading-tee-instance-blueprint; v0=0x0ab2be566f902c70048108aa16dd4921d06ee6dd43c04df867d2149b7014cefe; release=v0.1.3	2026-05-23T10:55:40Z
ai-trading-blueprint	16	0x8F982bbF592066c7037526982D19aC131f4933a9	registered	-	-	-	-	variant=validator; binary=trading-validator; v0=0x1a6dab58a9cd33c15e0b2e42b76011fabec0465c4d7ab345b1fbd3d839982ece; release=v0.1.3	2026-05-23T10:55:42Z
